"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 09 08:24:32 UTC 2026","Fri Jan 09 08:24:32 UTC 2026","332","tests","test_user_api","TestUserAPI","","","Неуспешный вход с невалидными данными","Тест неуспешного входа с невалидными данными"
"passed","Fri Jan 09 08:24:31 UTC 2026","Fri Jan 09 08:24:31 UTC 2026","378","tests","test_user_api","TestUserAPI","","","Успешный вход в систему","Тест успешного входа пользователя"
"passed","Fri Jan 09 08:24:30 UTC 2026","Fri Jan 09 08:24:30 UTC 2026","318","tests","test_user_api","TestUserAPI","","","Успешное создание пользователя","Тест успешного создания пользователя"
"passed","Fri Jan 09 08:24:34 UTC 2026","Fri Jan 09 08:24:35 UTC 2026","322","tests","test_user_api","TestUserAPI","","","Удаление несуществующего пользователя","Тест удаления несуществующего пользователя"
"passed","Fri Jan 09 08:24:33 UTC 2026","Fri Jan 09 08:24:33 UTC 2026","477","tests","test_user_api","TestUserAPI","","","Успешное обновление данных пользователя","Тест успешного обновления данных пользователя"
"passed","Fri Jan 09 08:24:35 UTC 2026","Fri Jan 09 08:24:35 UTC 2026","390","tests","test_user_api","TestUserAPI","","","Успешное получение данных пользователя","Тест получения данных пользователя"
"passed","Fri Jan 09 08:24:33 UTC 2026","Fri Jan 09 08:24:34 UTC 2026","341","tests","test_user_api","TestUserAPI","","","Обновление несуществующего пользователя","Тест обновления несуществующего пользователя"
"passed","Fri Jan 09 08:24:35 UTC 2026","Fri Jan 09 08:24:37 UTC 2026","1022","tests","test_user_api","TestUserAPI","","","Создание 10 пользователей за разумное время","Тест создание нескольких пользователей"
"passed","Fri Jan 09 08:24:31 UTC 2026","Fri Jan 09 08:24:32 UTC 2026","337","tests","test_user_api","TestUserAPI","","","Неуспешный вход с невалидными данными","Тест неуспешного входа с невалидными данными"
"passed","Fri Jan 09 08:24:30 UTC 2026","Fri Jan 09 08:24:31 UTC 2026","308","tests","test_user_api","TestUserAPI","","","Создание пользователя с пустыми данными","Тест создания пользователя с пустыми данными"
"passed","Fri Jan 09 08:24:32 UTC 2026","Fri Jan 09 08:24:32 UTC 2026","315","tests","test_user_api","TestUserAPI","","","Неуспешный вход с невалидными данными","Тест неуспешного входа с невалидными данными"
"passed","Fri Jan 09 08:24:34 UTC 2026","Fri Jan 09 08:24:34 UTC 2026","467","tests","test_user_api","TestUserAPI","","","Успешное удаление пользователя","Тест успешного удаления пользователя"
"passed","Fri Jan 09 08:24:32 UTC 2026","Fri Jan 09 08:24:33 UTC 2026","484","tests","test_user_api","TestUserAPI","","","Успешный выход из системы","Тест успешного выхода из системы"
"passed","Fri Jan 09 08:24:35 UTC 2026","Fri Jan 09 08:24:35 UTC 2026","339","tests","test_user_api","TestUserAPI","","","Получение несуществующего пользователя","Тест получения несуществующего пользователя"
